order,target_feature,ground_truth,context_features,source_file,mean_delta,std_fold_delta,se_unit_mean,ci95_boot_low,ci95_boot_high,n_units,n_repeats,n_seeds,n_folds_total,interval_unit,n,protocol,loss,calibrated,context_feature
2.0,a5,informative,"('a3',)",null_swap_monks1_raw.csv,0.09401463730589527,0.02475504098874057,0.0032511975535998924,0.0883849232103457,0.09964435140144483,5,5,0,25,repeat_mean,,,,,
2.0,a5,informative,"('a4',)",null_swap_monks1_raw.csv,0.08866009219252369,0.02463420429051058,0.0046344624033384935,0.07962901841556862,0.09609062729893056,5,5,0,25,repeat_mean,,,,,
2.0,a5,informative,"('a6',)",null_swap_monks1_raw.csv,0.09221824034892494,0.025853394614943907,0.0022617401698826582,0.08903855265933373,0.09651633175905192,5,5,0,25,repeat_mean,,,,,
2.0,a6,noise,"('a1',)",null_swap_monks1_raw.csv,0.0005776681276644881,0.003957439757426072,0.0006103425858553676,-0.0004147135742911639,0.0016855504562071483,5,5,0,25,repeat_mean,,,,,
2.0,a6,noise,"('a2',)",null_swap_monks1_raw.csv,-0.0033466846305473686,0.00527995281110782,0.0008673925038932077,-0.005040165490185368,-0.002187766778049456,5,5,0,25,repeat_mean,,,,,
2.0,a6,noise,"('a3',)",null_swap_monks1_raw.csv,-0.0009827420852416406,0.004554723636668563,0.0009192446419531146,-0.0023118071981260606,0.000702287963309208,5,5,0,25,repeat_mean,,,,,
2.0,a6,noise,"('a4',)",null_swap_monks1_raw.csv,-0.0014702532475882545,0.004591785903503103,0.0011935847335185301,-0.00349606109132168,0.0006841497066398441,5,5,0,25,repeat_mean,,,,,
2.0,a6,noise,"('a5',)",null_swap_monks1_raw.csv,-0.001508680086760028,0.005499483089111439,0.0011502549638953924,-0.0037364513123918524,0.00029248066441379586,5,5,0,25,repeat_mean,,,,,
1.0,X1,,(),exp7_xor3_records.csv,-0.0035507756679457837,0.016315170615069357,0.004615287939519858,-0.01130812630196695,0.0042065749660753805,5,5,0,25,repeat_mean,,,,,
1.0,X10,,(),exp7_xor3_records.csv,0.0068670523985145315,0.013447524580899463,0.0019928238701365816,0.0039363812058555115,0.010538325662682186,5,5,0,25,repeat_mean,,,,,
