order,context_indices,target_idx,context_size,target_feature,context_features,repeat,fold,delta
1,(),10,0,X11,(),0,0,0.02723399895873302
1,(),10,0,X11,(),0,1,0.017231590722824874
1,(),10,0,X11,(),0,2,0.028978902161911013
1,(),10,0,X11,(),0,3,-0.009451381304816042
1,(),10,0,X11,(),0,4,-0.005704743704071036
1,(),10,0,X11,(),1,0,0.011968833233639287
1,(),10,0,X11,(),1,1,0.0012877353872523534
1,(),10,0,X11,(),1,2,0.018065001282914106
1,(),10,0,X11,(),1,3,0.00948188929528948
1,(),10,0,X11,(),1,4,-0.0019545145063922797
1,(),10,0,X11,(),2,0,-0.002977269226608903
1,(),10,0,X11,(),2,1,0.0228015810238682
1,(),10,0,X11,(),2,2,0.0077473129193187384
1,(),10,0,X11,(),2,3,-0.03707322393286472
1,(),10,0,X11,(),2,4,-0.008931274641505449
1,(),10,0,X11,(),3,0,-0.013004264184867997
1,(),10,0,X11,(),3,1,0.018579503285730103
1,(),10,0,X11,(),3,2,0.003661009006820981
1,(),10,0,X11,(),3,3,0.01077905414526159
1,(),10,0,X11,(),3,4,-0.004407430178383853
1,(),10,0,X11,(),4,0,0.01750487866489714
1,(),10,0,X11,(),4,1,0.015812993319935353
1,(),10,0,X11,(),4,2,-0.013531145786867982
1,(),10,0,X11,(),4,3,0.009242648056319025
1,(),10,0,X11,(),4,4,0.0010969879818242267
1,(),11,0,X12,(),0,0,-0.027439999736020626
1,(),11,0,X12,(),0,1,-0.010161191608555775
1,(),11,0,X12,(),0,2,-0.027777284933828805
1,(),11,0,X12,(),0,3,-0.017911317685117556
1,(),11,0,X12,(),0,4,0.003500347771884571
1,(),11,0,X12,(),1,0,-0.008776649737305853
1,(),11,0,X12,(),1,1,-0.022090497269297127
1,(),11,0,X12,(),1,2,-0.02008541773712269
1,(),11,0,X12,(),1,3,-0.013087518046140612
1,(),11,0,X12,(),1,4,-0.013289724539117698
1,(),11,0,X12,(),2,0,-0.03853603463479971
1,(),11,0,X12,(),2,1,-0.021004970123146727
1,(),11,0,X12,(),2,2,-0.009002610976780567
1,(),11,0,X12,(),2,3,0.006333821307226151
1,(),11,0,X12,(),2,4,-0.002546135991584486
1,(),11,0,X12,(),3,0,-0.017486582217896007
1,(),11,0,X12,(),3,1,0.003048504020845222
1,(),11,0,X12,(),3,2,0.003970308083850571
1,(),11,0,X12,(),3,3,0.006670069985287963
1,(),11,0,X12,(),3,4,-0.025732494137091666
1,(),11,0,X12,(),4,0,-0.027142338768594287
1,(),11,0,X12,(),4,1,0.0032606826912259246
1,(),11,0,X12,(),4,2,0.009701408978290749
1,(),11,0,X12,(),4,3,-0.036667868738543
1,(),11,0,X12,(),4,4,-0.004564182738123312
1,(),12,0,X13,(),0,0,-0.018801393146112177
1,(),12,0,X13,(),0,1,0.038576270164298654
