order,context_indices,target_idx,context_size,target_feature,context_features,repeat,fold,delta,seed
1,(),4,0,X5,(),3,0,-0.0002466304718955481,43
1,(),4,0,X5,(),3,1,0.0005460945680413332,43
1,(),4,0,X5,(),3,2,-0.0006353994509805672,43
1,(),4,0,X5,(),3,3,-0.00014309635536724485,43
1,(),4,0,X5,(),3,4,-0.0007674804766940602,43
1,(),4,0,X5,(),4,0,-0.0002678019866998449,43
1,(),4,0,X5,(),4,1,7.075750374285761e-05,43
1,(),4,0,X5,(),4,2,0.0017796734946239345,43
1,(),4,0,X5,(),4,3,-0.00019865158406506822,43
1,(),4,0,X5,(),4,4,0.00028451291391895506,43
1,(),5,0,X6,(),0,0,0.00025359202851898965,43
1,(),5,0,X6,(),0,1,0.0005387416233759712,43
1,(),5,0,X6,(),0,2,5.295984974118539e-06,43
1,(),5,0,X6,(),0,3,-0.00127795991255375,43
1,(),5,0,X6,(),0,4,0.0006565436742087538,43
1,(),5,0,X6,(),1,0,0.00028022010067385583,43
1,(),5,0,X6,(),1,1,0.00012219764291099278,43
1,(),5,0,X6,(),1,2,-0.00037193252703388024,43
1,(),5,0,X6,(),1,3,0.00018816205611554837,43
1,(),5,0,X6,(),1,4,-0.0003254597288551153,43
1,(),5,0,X6,(),2,0,-0.00023467226147066977,43
1,(),5,0,X6,(),2,1,0.000116140340391091,43
1,(),5,0,X6,(),2,2,-0.0002195602127489371,43
1,(),5,0,X6,(),2,3,-8.782395074569127e-06,43
1,(),5,0,X6,(),2,4,0.00031235606359802937,43
1,(),5,0,X6,(),3,0,-0.00108561334997187,43
1,(),5,0,X6,(),3,1,0.00019698764062814345,43
1,(),5,0,X6,(),3,2,-0.0004720753469207306,43
1,(),5,0,X6,(),3,3,0.0009929415567147548,43
1,(),5,0,X6,(),3,4,-0.0006758712193264405,43
1,(),5,0,X6,(),4,0,-0.00029320470208660243,43
1,(),5,0,X6,(),4,1,-1.6597370210869045e-05,43
1,(),5,0,X6,(),4,2,-5.113209912743777e-05,43
1,(),5,0,X6,(),4,3,-0.00019071910105039613,43
1,(),5,0,X6,(),4,4,-4.053445107249365e-05,43
1,(),6,0,X7,(),0,0,-2.767423531946367e-06,43
1,(),6,0,X7,(),0,1,-4.465149543775304e-06,43
1,(),6,0,X7,(),0,2,-0.0009623063131542486,43
1,(),6,0,X7,(),0,3,0.00012789393124079673,43
1,(),6,0,X7,(),0,4,-4.3096894437044675e-06,43
1,(),6,0,X7,(),1,0,-6.930082133593807e-05,43
1,(),6,0,X7,(),1,1,0.0006686516102666906,43
1,(),6,0,X7,(),1,2,-0.0006789838872808263,43
1,(),6,0,X7,(),1,3,0.00040720437911478946,43
1,(),6,0,X7,(),1,4,0.0006737552736805208,43
1,(),6,0,X7,(),2,0,0.00035489834706947665,43
1,(),6,0,X7,(),2,1,0.0005597741803358147,43
1,(),6,0,X7,(),2,2,-0.00014002930134182634,43
1,(),6,0,X7,(),2,3,3.733153892560015e-05,43
1,(),6,0,X7,(),2,4,-9.520671643303835e-05,43
1,(),6,0,X7,(),3,0,0.00021513813045087593,43
1,(),6,0,X7,(),3,1,0.0005517552987990837,43
1,(),6,0,X7,(),3,2,0.00042319586097055995,43
1,(),6,0,X7,(),3,3,1.6300036783600813e-05,43
1,(),6,0,X7,(),3,4,-0.0014734555301739727,43
1,(),6,0,X7,(),4,0,0.00011407157892751041,43
1,(),6,0,X7,(),4,1,0.0006862978832129496,43
1,(),6,0,X7,(),4,2,-9.019768639234593e-05,43
1,(),6,0,X7,(),4,3,0.00013483935424207782,43
1,(),6,0,X7,(),4,4,0.0002774510966014887,43
1,(),7,0,X8,(),0,0,0.00040861519899870746,43
1,(),7,0,X8,(),0,1,0.00018261576570610671,43
1,(),7,0,X8,(),0,2,1.382827930329622e-05,43
1,(),7,0,X8,(),0,3,-6.873187236866585e-05,43
1,(),7,0,X8,(),0,4,-8.464817562214844e-05,43
1,(),7,0,X8,(),1,0,-0.0004557136903124426,43
1,(),7,0,X8,(),1,1,0.0005462027443399187,43
1,(),7,0,X8,(),1,2,0.0005268585639581769,43
1,(),7,0,X8,(),1,3,-0.0003129414808202835,43
1,(),7,0,X8,(),1,4,-0.0001718071150675904,43
