experiment,claim,seed_ix,seed,n,order,estimator,loss,target_feature,context_features,repeat,fold,delta,protocol,calibrated,context_feature
xor3,xor3_order2_zero,0,42,4096,2,dt,rmse,X2,"('X1',)",0,3,-0.002590139073819109,,,
xor3,xor3_order2_zero,0,42,4096,2,dt,rmse,X2,"('X1',)",0,4,0.015532265064610806,,,
xor3,xor3_order2_zero,0,42,4096,2,dt,rmse,X2,"('X1',)",1,0,0.004340861137991814,,,
xor3,xor3_order2_zero,0,42,4096,2,dt,rmse,X2,"('X1',)",1,1,0.027220737467312905,,,
xor3,xor3_order2_zero,0,42,4096,2,dt,rmse,X2,"('X1',)",1,2,-0.01382315426300229,,,
xor3,xor3_order2_zero,0,42,4096,2,dt,rmse,X2,"('X1',)",1,3,-0.016208525840444632,,,
xor3,xor3_order2_zero,0,42,4096,2,dt,rmse,X2,"('X1',)",1,4,-0.04352443239567838,,,
xor3,xor3_order2_zero,0,42,4096,2,dt,rmse,X2,"('X1',)",2,0,-0.02793887498440628,,,
xor3,xor3_order2_zero,0,42,4096,2,dt,rmse,X2,"('X1',)",2,1,0.0008489877459268991,,,
xor3,xor3_order2_zero,0,42,4096,2,dt,rmse,X2,"('X1',)",2,2,0.00608847333852458,,,
xor3,xor3_order2_zero,0,42,4096,2,dt,rmse,X2,"('X1',)",2,3,-0.0067093088966755365,,,
xor3,xor3_order2_zero,0,42,4096,2,dt,rmse,X2,"('X1',)",2,4,0.009532359269802781,,,
xor3,xor3_order2_zero,0,42,4096,2,dt,rmse,X2,"('X1',)",3,0,-0.005167688295504735,,,
xor3,xor3_order2_zero,0,42,4096,2,dt,rmse,X2,"('X1',)",3,1,0.020536018048002758,,,
xor3,xor3_order2_zero,0,42,4096,2,dt,rmse,X2,"('X1',)",3,2,0.0051396726800012615,,,
xor3,xor3_order2_zero,0,42,4096,2,dt,rmse,X2,"('X1',)",3,3,-0.006928290347157362,,,
xor3,xor3_order2_zero,0,42,4096,2,dt,rmse,X2,"('X1',)",3,4,0.014678220762082805,,,
xor3,xor3_order2_zero,0,42,4096,2,dt,rmse,X2,"('X1',)",4,0,-0.0059818661844691645,,,
xor3,xor3_order2_zero,0,42,4096,2,dt,rmse,X2,"('X1',)",4,1,-0.018559137464010278,,,
xor3,xor3_order2_zero,0,42,4096,2,dt,rmse,X2,"('X1',)",4,2,-0.0051583064844971105,,,
xor3,xor3_order2_zero,0,42,4096,2,dt,rmse,X2,"('X1',)",4,3,0.01134970167457039,,,
xor3,xor3_order2_zero,0,42,4096,2,dt,rmse,X2,"('X1',)",4,4,-0.010985400566741133,,,
xor3,xor3_order2_zero,0,42,4096,2,dt,rmse,X2,"('X3',)",0,0,-0.019823345543545368,,,
xor3,xor3_order2_zero,0,42,4096,2,dt,rmse,X2,"('X3',)",0,1,0.03990224201328807,,,
xor3,xor3_order2_zero,0,42,4096,2,dt,rmse,X2,"('X3',)",0,2,-0.0034430292801630458,,,
xor3,xor3_order2_zero,0,42,4096,2,dt,rmse,X2,"('X3',)",0,3,0.0008602331148067632,,,
xor3,xor3_order2_zero,0,42,4096,2,dt,rmse,X2,"('X3',)",0,4,-0.03517457069699559,,,
xor3,xor3_order2_zero,0,42,4096,2,dt,rmse,X2,"('X3',)",1,0,-0.029148022729078793,,,
xor3,xor3_order2_zero,0,42,4096,2,dt,rmse,X2,"('X3',)",1,1,-0.007857351042627747,,,
xor3,xor3_order2_zero,0,42,4096,2,dt,rmse,X2,"('X3',)",1,2,-0.024494382923348268,,,
