order,context_indices,target_idx,context_size,target_feature,context_features,repeat,fold,delta
2,"(1,)",0,1,X1,"('X2',)",3,0,0.012880551008538133
2,"(1,)",0,1,X1,"('X2',)",3,1,0.0026190802731071994
2,"(1,)",0,1,X1,"('X2',)",3,2,-0.00608847333852458
2,"(1,)",0,1,X1,"('X2',)",3,3,0.04316512796390781
2,"(1,)",0,1,X1,"('X2',)",3,4,-0.006149744901751686
2,"(1,)",0,1,X1,"('X2',)",4,0,-0.012959152731073398
2,"(1,)",0,1,X1,"('X2',)",4,1,-0.02232825475396827
2,"(1,)",0,1,X1,"('X2',)",4,2,0.02117703457601816
2,"(1,)",0,1,X1,"('X2',)",4,3,0.0017515270781914838
2,"(1,)",0,1,X1,"('X2',)",4,4,0.004181265206404716
2,"(2,)",0,1,X1,"('X3',)",0,0,0.01823306576736472
2,"(2,)",0,1,X1,"('X3',)",0,1,-0.00430640768426549
2,"(2,)",0,1,X1,"('X3',)",0,2,-0.024046286687000373
2,"(2,)",0,1,X1,"('X3',)",0,3,0.005887613130436287
2,"(2,)",0,1,X1,"('X3',)",0,4,0.023485387594206042
2,"(2,)",0,1,X1,"('X3',)",1,0,-0.026001323529169174
2,"(2,)",0,1,X1,"('X3',)",1,1,-0.03779060724352257
2,"(2,)",0,1,X1,"('X3',)",1,2,-0.0025933074621644625
2,"(2,)",0,1,X1,"('X3',)",1,3,0.018000994972111273
2,"(2,)",0,1,X1,"('X3',)",1,4,-0.023034674400484567
2,"(2,)",0,1,X1,"('X3',)",2,0,-0.01653727639466207
2,"(2,)",0,1,X1,"('X3',)",2,1,-0.018824371796690498
2,"(2,)",0,1,X1,"('X3',)",2,2,-0.011210589170456253
2,"(2,)",0,1,X1,"('X3',)",2,3,0.004301184532652824
2,"(2,)",0,1,X1,"('X3',)",2,4,0.013925695955239847
2,"(2,)",0,1,X1,"('X3',)",3,0,-0.009377759979179778
2,"(2,)",0,1,X1,"('X3',)",3,1,-0.00423496816128488
2,"(2,)",0,1,X1,"('X3',)",3,2,-0.0017278129297613187
2,"(2,)",0,1,X1,"('X3',)",3,3,-0.005215447941529505
2,"(2,)",0,1,X1,"('X3',)",3,4,0.021801075831424654
2,"(2,)",0,1,X1,"('X3',)",4,0,-0.013865678456277064
2,"(2,)",0,1,X1,"('X3',)",4,1,-0.00965182833692646
2,"(2,)",0,1,X1,"('X3',)",4,2,0.0008633784041024439
2,"(2,)",0,1,X1,"('X3',)",4,3,-0.043733826362988504
2,"(2,)",0,1,X1,"('X3',)",4,4,-0.03351781762684025
2,"(3,)",0,1,X1,"('X4',)",0,0,0.03374335773262227
2,"(3,)",0,1,X1,"('X4',)",0,1,0.006196932220526197
2,"(3,)",0,1,X1,"('X4',)",0,2,0.026277553153759015
2,"(3,)",0,1,X1,"('X4',)",0,3,-0.003438858388595034
2,"(3,)",0,1,X1,"('X4',)",0,4,0.004239953497296778
2,"(3,)",0,1,X1,"('X4',)",1,0,-0.004303781024866282
2,"(3,)",0,1,X1,"('X4',)",1,1,-0.0061112349302320235
2,"(3,)",0,1,X1,"('X4',)",1,2,0.015219862960981656
2,"(3,)",0,1,X1,"('X4',)",1,3,-0.024046286687000373
2,"(3,)",0,1,X1,"('X4',)",1,4,0.01990835291110271
2,"(3,)",0,1,X1,"('X4',)",2,0,0.02160020661723694
2,"(3,)",0,1,X1,"('X4',)",2,1,0.00936119286577719
2,"(3,)",0,1,X1,"('X4',)",2,2,-0.01293542956148841
2,"(3,)",0,1,X1,"('X4',)",2,3,0.006852931558022801
2,"(3,)",0,1,X1,"('X4',)",2,4,-0.008535496190790304
2,"(3,)",0,1,X1,"('X4',)",3,0,-0.004293360041116356
2,"(3,)",0,1,X1,"('X4',)",3,1,0.01626681022671761
2,"(3,)",0,1,X1,"('X4',)",3,2,-0.02166651879765169
2,"(3,)",0,1,X1,"('X4',)",3,3,0.009405933858917637
2,"(3,)",0,1,X1,"('X4',)",3,4,-0.037321049948114915
2,"(3,)",0,1,X1,"('X4',)",4,0,-0.005099890443670874
2,"(3,)",0,1,X1,"('X4',)",4,1,0.024046286687000373
