order,context_indices,target_idx,context_size,target_feature,ground_truth,context_features,repeat,fold,delta
2,"(4,)",1,1,a2,informative,"('a5',)",2,3,0.0023084858507900208
2,"(4,)",1,1,a2,informative,"('a5',)",2,4,-0.000932725739122231
2,"(4,)",1,1,a2,informative,"('a5',)",3,0,0.00017340981542063316
2,"(4,)",1,1,a2,informative,"('a5',)",3,1,-0.008502090151773667
2,"(4,)",1,1,a2,informative,"('a5',)",3,2,-0.0007626971348305145
2,"(4,)",1,1,a2,informative,"('a5',)",3,3,0.007269721428147913
2,"(4,)",1,1,a2,informative,"('a5',)",3,4,0.00027877895844130585
2,"(4,)",1,1,a2,informative,"('a5',)",4,0,-0.0110905219335381
2,"(4,)",1,1,a2,informative,"('a5',)",4,1,0.016292597620712113
2,"(4,)",1,1,a2,informative,"('a5',)",4,2,0.0039048459394867008
2,"(4,)",1,1,a2,informative,"('a5',)",4,3,-0.00768472099074613
2,"(4,)",1,1,a2,informative,"('a5',)",4,4,0.010759829808327681
2,"(5,)",1,1,a2,informative,"('a6',)",0,0,-0.008556995174859638
2,"(5,)",1,1,a2,informative,"('a6',)",0,1,0.00619592670760416
2,"(5,)",1,1,a2,informative,"('a6',)",0,2,-0.012544619186551864
2,"(5,)",1,1,a2,informative,"('a6',)",0,3,-0.009238137672558322
2,"(5,)",1,1,a2,informative,"('a6',)",0,4,-0.0055269685071765995
2,"(5,)",1,1,a2,informative,"('a6',)",1,0,0.003692420606689728
2,"(5,)",1,1,a2,informative,"('a6',)",1,1,-0.0005453026139186079
2,"(5,)",1,1,a2,informative,"('a6',)",1,2,0.007238694466621509
2,"(5,)",1,1,a2,informative,"('a6',)",1,3,0.0036719861029310685
2,"(5,)",1,1,a2,informative,"('a6',)",1,4,0.0007903914033307036
2,"(5,)",1,1,a2,informative,"('a6',)",2,0,-0.0028158533555359133
2,"(5,)",1,1,a2,informative,"('a6',)",2,1,0.0013667133201569204
2,"(5,)",1,1,a2,informative,"('a6',)",2,2,0.013402053729848595
