order,context_indices,target_idx,context_size,target_feature,ground_truth,context_features,repeat,fold,delta
1,(),2,0,a3,noise,(),0,0,-0.00398143175556398
1,(),2,0,a3,noise,(),0,1,0.0
1,(),2,0,a3,noise,(),0,2,0.003994138462097618
1,(),2,0,a3,noise,(),0,3,-0.0019014732119151945
1,(),2,0,a3,noise,(),0,4,-0.0013477955428577992
1,(),2,0,a3,noise,(),1,0,0.001440561146359376
1,(),2,0,a3,noise,(),1,1,-0.0040894829769277385
1,(),2,0,a3,noise,(),1,2,-0.0019201534067906922
1,(),2,0,a3,noise,(),1,3,0.0018097280249401715
1,(),2,0,a3,noise,(),1,4,-0.0012202206230752521
1,(),2,0,a3,noise,(),2,0,-0.004393079054064164
1,(),2,0,a3,noise,(),2,1,-0.0034520076677524436
1,(),2,0,a3,noise,(),2,2,-0.0009365945731332204
1,(),2,0,a3,noise,(),2,3,-0.0002983361434550913
1,(),2,0,a3,noise,(),2,4,-0.00023272899837067929
1,(),2,0,a3,noise,(),3,0,0.0012089056589915659
1,(),2,0,a3,noise,(),3,1,-0.003689388767124324
1,(),2,0,a3,noise,(),3,2,0.0008119543838245313
1,(),2,0,a3,noise,(),3,3,0.0003673490989104522
1,(),2,0,a3,noise,(),3,4,-0.005855296929391074
1,(),2,0,a3,noise,(),4,0,-0.0011999092582610782
1,(),2,0,a3,noise,(),4,1,-0.00175408113076303
1,(),2,0,a3,noise,(),4,2,-0.0031735544889961442
1,(),2,0,a3,noise,(),4,3,0.002236955639383975
1,(),2,0,a3,noise,(),4,4,0.0
1,(),3,0,a4,noise,(),0,0,0.00028381429941493064
1,(),3,0,a4,noise,(),0,1,-0.006531743294494241
1,(),3,0,a4,noise,(),0,2,-0.0013550579730019496
1,(),3,0,a4,noise,(),0,3,-0.00018972477825307532
1,(),3,0,a4,noise,(),0,4,-0.004988232014970229
1,(),3,0,a4,noise,(),1,0,0.0027302547227973095
1,(),3,0,a4,noise,(),1,1,0.0019432393735496767
1,(),3,0,a4,noise,(),1,2,0.0004762772064038634
1,(),3,0,a4,noise,(),1,3,0.004052408677723052
1,(),3,0,a4,noise,(),1,4,0.004535965295211275
1,(),3,0,a4,noise,(),2,0,-0.006027302319421002
1,(),3,0,a4,noise,(),2,1,-0.0025040303297290123
1,(),3,0,a4,noise,(),2,2,-0.003487289823281614
1,(),3,0,a4,noise,(),2,3,0.006143356428055968
1,(),3,0,a4,noise,(),2,4,0.0010092241116913536
1,(),3,0,a4,noise,(),3,0,0.0
1,(),3,0,a4,noise,(),3,1,-0.002961304176647972
1,(),3,0,a4,noise,(),3,2,-0.01045969331155533
1,(),3,0,a4,noise,(),3,3,-0.0006051817667567239
1,(),3,0,a4,noise,(),3,4,-7.252535724200371e-05
1,(),3,0,a4,noise,(),4,0,-0.005681195016064788
1,(),3,0,a4,noise,(),4,1,-0.0003892211903098186
1,(),3,0,a4,noise,(),4,2,-0.0036762949450135363
1,(),3,0,a4,noise,(),4,3,-0.0024370347562302497
1,(),3,0,a4,noise,(),4,4,-0.005846048443013452
1,(),4,0,a5,informative,(),0,0,0.0955116650393637
1,(),4,0,a5,informative,(),0,1,0.049698401776427925
1,(),4,0,a5,informative,(),0,2,0.07264726607343036
1,(),4,0,a5,informative,(),0,3,0.0935255514968103
1,(),4,0,a5,informative,(),0,4,0.10144054375691741
1,(),4,0,a5,informative,(),1,0,0.04024406784272205
1,(),4,0,a5,informative,(),1,1,0.10057802300614166
1,(),4,0,a5,informative,(),1,2,0.09313690664565089
1,(),4,0,a5,informative,(),1,3,0.13297121731600237
1,(),4,0,a5,informative,(),1,4,0.13439772428419888
1,(),4,0,a5,informative,(),2,0,0.09159179142373886
1,(),4,0,a5,informative,(),2,1,0.1112555571157543
1,(),4,0,a5,informative,(),2,2,0.08282062359860953
1,(),4,0,a5,informative,(),2,3,0.09446480023718967
1,(),4,0,a5,informative,(),2,4,0.10436350613075418
1,(),4,0,a5,informative,(),3,0,0.07812906298963906
1,(),4,0,a5,informative,(),3,1,0.07301259208314548
1,(),4,0,a5,informative,(),3,2,0.1364931229338487
1,(),4,0,a5,informative,(),3,3,0.07389143778462964
1,(),4,0,a5,informative,(),3,4,0.08078080991920611
1,(),4,0,a5,informative,(),4,0,0.11783100878255015
1,(),4,0,a5,informative,(),4,1,0.0589842484474265
1,(),4,0,a5,informative,(),4,2,0.09314301270657316
1,(),4,0,a5,informative,(),4,3,0.1278522056435229
1,(),4,0,a5,informative,(),4,4,0.08951025275946567
1,(),5,0,a6,noise,(),0,0,0.0027660354523271202
1,(),5,0,a6,noise,(),0,1,-0.0010363572764023887
1,(),5,0,a6,noise,(),0,2,-0.0019960364444955303
1,(),5,0,a6,noise,(),0,3,-0.002023821299242612
1,(),5,0,a6,noise,(),0,4,-0.00406187058682933
1,(),5,0,a6,noise,(),1,0,0.0034363951159173123
1,(),5,0,a6,noise,(),1,1,0.0013032186260715228
1,(),5,0,a6,noise,(),1,2,0.0
1,(),5,0,a6,noise,(),1,3,-0.00020203880904662297
1,(),5,0,a6,noise,(),1,4,-0.004101848120859564
1,(),5,0,a6,noise,(),2,0,-0.000226920437109146
1,(),5,0,a6,noise,(),2,1,0.0012708769544633736
1,(),5,0,a6,noise,(),2,2,0.00016095660482451368
1,(),5,0,a6,noise,(),2,3,-0.0018997279506238196
1,(),5,0,a6,noise,(),2,4,-0.0003219315827597269
1,(),5,0,a6,noise,(),3,0,0.0006203579341140797
1,(),5,0,a6,noise,(),3,1,-0.0026519435076658437
1,(),5,0,a6,noise,(),3,2,-0.0018912973756443074
1,(),5,0,a6,noise,(),3,3,-0.0006973364890693334
