seed,feature,role,in_C,in_I_expected,ATE_do,MI_marginal,NS_delta_order1
60,X1,confounder_proxy,False,True,-0.0012800000000000034,0.07578976153844863,0.03273592190769817
60,X2,confounder_proxy,False,True,0.0012400000000000189,0.07910760842493314,0.03389775964641546
60,X3,true_cause,True,True,0.5173800000000001,0.11655718064388854,0.05449242824471895
60,X4,redundant_proxy,False,True,0.0038599999999999746,0.11840290130775788,0.05414513771012697
60,X5,noise,False,False,-0.0020999999999999908,0.0,-4.836674088203763e-05
60,X6,noise,False,False,-0.0013199999999999878,0.0,1.957360088898241e-05
60,X7,noise,False,False,-0.0008000000000000229,0.002571439304083434,0.000224371680916291
60,X8,noise,False,False,0.003640000000000032,0.0022896701906933714,3.0216860444007843e-05
61,X1,confounder_proxy,False,True,-0.0041600000000000525,0.07558559644030849,0.03407888973124823
61,X2,confounder_proxy,False,True,0.00034000000000000696,0.06695764718441533,0.032642070810994024
61,X3,true_cause,True,True,0.5218200000000001,0.1199107485859141,0.05741740805533882
61,X4,redundant_proxy,False,True,0.006359999999999977,0.1253324464147414,0.05730385751687507
61,X5,noise,False,False,0.0017599999999999838,0.0,9.357792806273135e-05
61,X6,noise,False,False,-0.00035999999999991594,0.0,-0.00011594224906275264
61,X7,noise,False,False,0.00015999999999993797,0.0,8.888960583903317e-05
61,X8,noise,False,False,-0.0009200000000000319,0.00014026416182533197,0.00018225153033751829
