order,target_feature,context_features,source_file,mean_delta,std_fold_delta,se_unit_mean,ci95_boot_low,ci95_boot_high,n_units,n_repeats,n_seeds,n_folds_total,interval_unit
1,X7,(),exp6_mixed_dgp_ns_raw.csv,0.007741131173301736,0.013669633300854106,0.0007671146402177287,0.006454266703877584,0.009084834115239745,5,5,0,25,repeat_mean
1,X8,(),exp6_mixed_dgp_ns_raw.csv,-0.0022158350302525927,0.01320773376374606,0.0026887187422184222,-0.006842610969170491,0.002271053536205612,5,5,0,25,repeat_mean
1,X9,(),exp6_mixed_dgp_ns_raw.csv,-0.009565745090144111,0.012097144991288136,0.0016270848428779452,-0.012388792856466487,-0.006827556050347283,5,5,0,25,repeat_mean
2,X1,"('X10',)",exp6_mixed_dgp_ns_raw.csv,0.042625597885280475,0.009011773042627536,0.0018454894683456059,0.03950205472652256,0.04574914104403839,5,5,0,25,repeat_mean
2,X1,"('X11',)",exp6_mixed_dgp_ns_raw.csv,0.04436068565348665,0.009822269384788617,0.0012970895491906614,0.04232078891453469,0.046908252610068125,5,5,0,25,repeat_mean
2,X1,"('X12',)",exp6_mixed_dgp_ns_raw.csv,0.04398786892343667,0.009916478332086824,0.0017279461454466373,0.04092813402266081,0.04680611234709877,5,5,0,25,repeat_mean
2,X1,"('X13',)",exp6_mixed_dgp_ns_raw.csv,0.04380893877370132,0.01119554032192999,0.0034026760661401197,0.037901828308002185,0.0495798275744439,5,5,0,25,repeat_mean
2,X1,"('X14',)",exp6_mixed_dgp_ns_raw.csv,0.041430076936732015,0.009672218596606382,0.0027213321597018983,0.036207413332596985,0.0460903642858426,5,5,0,25,repeat_mean
2,X1,"('X15',)",exp6_mixed_dgp_ns_raw.csv,0.03742451164819911,0.010195711349978646,0.0021151619239293215,0.033401134265803864,0.04085095773384119,5,5,0,25,repeat_mean
2,X1,"('X2',)",exp6_mixed_dgp_ns_raw.csv,0.0413489785751192,0.011789195238263805,0.002310059631264864,0.03730483912560169,0.04538516436998961,5,5,0,25,repeat_mean
2,X1,"('X3',)",exp6_mixed_dgp_ns_raw.csv,0.044594787505738684,0.010474775225288011,0.0015929966618145027,0.04233579556761161,0.04757404738795358,5,5,0,25,repeat_mean
2,X1,"('X4',)",exp6_mixed_dgp_ns_raw.csv,0.001370643163913108,0.008350305037420782,0.0012498829636117077,-0.000822191675210392,0.003573077621898235,5,5,0,25,repeat_mean
2,X1,"('X5',)",exp6_mixed_dgp_ns_raw.csv,-0.005552406465331184,0.009121239733449882,0.001955414717154712,-0.009026297387827158,-0.002078515542835208,5,5,0,25,repeat_mean
2,X1,"('X6',)",exp6_mixed_dgp_ns_raw.csv,0.042803056591489946,0.009233692238945228,0.0021780379328064535,0.03911032913966165,0.046694600205620454,5,5,0,25,repeat_mean
2,X1,"('X7',)",exp6_mixed_dgp_ns_raw.csv,0.03769810052568773,0.01004473237739005,0.0012657553280314181,0.03560606417099924,0.03992358368348386,5,5,0,25,repeat_mean
2,X1,"('X8',)",exp6_mixed_dgp_ns_raw.csv,0.03863245646577285,0.010556256593834834,0.002220946269659565,0.035043177525003785,0.04246949431436079,5,5,0,25,repeat_mean
2,X1,"('X9',)",exp6_mixed_dgp_ns_raw.csv,0.046393013475955314,0.010707160669001221,0.0027648649552801936,0.04159205258366605,0.05077285846824844,5,5,0,25,repeat_mean
2,X10,"('X1',)",exp6_mixed_dgp_ns_raw.csv,0.0024237820860368003,0.008540072835558575,0.0011365706033534602,0.00049165752835138,0.00435590664372222,5,5,0,25,repeat_mean
2,X10,"('X11',)",exp6_mixed_dgp_ns_raw.csv,-0.001497033016001212,0.0076843777149093176,0.0019166186930517346,-0.0045239897621916075,0.002229523062851664,5,5,0,25,repeat_mean
2,X10,"('X12',)",exp6_mixed_dgp_ns_raw.csv,-0.004414148987819104,0.008173253897143679,0.0017063225692292925,-0.007522557647131616,-0.00186390872434752,5,5,0,25,repeat_mean
2,X10,"('X13',)",exp6_mixed_dgp_ns_raw.csv,-0.001126029225257132,0.009179963600368992,0.0009657602601056667,-0.0025225753412187676,0.0007010003117632125,5,5,0,25,repeat_mean
2,X10,"('X14',)",exp6_mixed_dgp_ns_raw.csv,-0.0015199572907822708,0.010221285577355537,0.0017048062749502881,-0.003659337701118996,0.00197157603109992,5,5,0,25,repeat_mean
2,X10,"('X15',)",exp6_mixed_dgp_ns_raw.csv,-0.00341420396086814,0.008334421980655028,0.0006749535416546118,-0.004433195167679471,-0.002113576503034196,5,5,0,25,repeat_mean
2,X10,"('X2',)",exp6_mixed_dgp_ns_raw.csv,-0.001555786254178395,0.009346839339110567,0.0016397667914883807,-0.004537117017070577,0.00115087388745914,5,5,0,25,repeat_mean
2,X10,"('X3',)",exp6_mixed_dgp_ns_raw.csv,-0.0009334735341357338,0.008204031270743095,0.0023723949906653487,-0.004866967080283705,0.003299390980797084,5,5,0,25,repeat_mean
2,X10,"('X4',)",exp6_mixed_dgp_ns_raw.csv,0.00514764942281432,0.011175786508467605,0.0018382409251886016,0.0020209245821058725,0.00866193901269194,5,5,0,25,repeat_mean
2,X10,"('X5',)",exp6_mixed_dgp_ns_raw.csv,-0.00012366824644470772,0.008433598573339607,0.00189535694872108,-0.0034614435924582077,0.0032141070995687923,5,5,0,25,repeat_mean
2,X10,"('X6',)",exp6_mixed_dgp_ns_raw.csv,-0.0034225894608020603,0.007821992579771677,0.0008581848027830159,-0.0047268971752122205,-0.001869437687938108,5,5,0,25,repeat_mean
2,X10,"('X7',)",exp6_mixed_dgp_ns_raw.csv,0.003337115146304316,0.006745611501937997,0.0012155169929946475,0.0013157446938968482,0.005533667699378684,5,5,0,25,repeat_mean
2,X10,"('X8',)",exp6_mixed_dgp_ns_raw.csv,-0.0022816837366043835,0.009694861103641041,0.00147286087300657,-0.0050037969989945195,0.00037877317297917493,5,5,0,25,repeat_mean
2,X10,"('X9',)",exp6_mixed_dgp_ns_raw.csv,-0.002815192444247554,0.009016306599054448,0.0017346652476857097,-0.005589205781137935,0.0002004810616207933,5,5,0,25,repeat_mean
2,X11,"('X1',)",exp6_mixed_dgp_ns_raw.csv,0.001278542954925132,0.007319517924792608,0.0014132352235756386,-0.00074241438855474,0.004080550274825916,5,5,0,25,repeat_mean
2,X11,"('X10',)",exp6_mixed_dgp_ns_raw.csv,-0.0017203050788039118,0.0107053863578113,0.0015951438578134386,-0.004358137521760416,0.0012900342501923757,5,5,0,25,repeat_mean
2,X11,"('X12',)",exp6_mixed_dgp_ns_raw.csv,-0.005345493267278431,0.010323569502387917,0.001137165435920041,-0.007378227180401832,-0.00331275935415503,5,5,0,25,repeat_mean
2,X11,"('X13',)",exp6_mixed_dgp_ns_raw.csv,0.009902475092817772,0.008977507625863693,0.0015962487638066394,0.007454828112568699,0.013153580641330553,5,5,0,25,repeat_mean
2,X11,"('X14',)",exp6_mixed_dgp_ns_raw.csv,0.0019383073350537792,0.0100327942803624,0.001688291383628606,-0.0012633674491051568,0.004727894500697391,5,5,0,25,repeat_mean
2,X11,"('X15',)",exp6_mixed_dgp_ns_raw.csv,0.007849431474516232,0.009356842622542888,0.0011828659914718737,0.006079110267354792,0.010118296490640616,5,5,0,25,repeat_mean
2,X11,"('X2',)",exp6_mixed_dgp_ns_raw.csv,-0.0049039396170641155,0.008092349380418008,0.0011233611997649472,-0.006938702105604928,-0.0030266154266345964,5,5,0,25,repeat_mean
2,X11,"('X3',)",exp6_mixed_dgp_ns_raw.csv,0.005482239635783554,0.010497700209716116,0.002563265059459242,0.0007050061776111187,0.009839394686408811,5,5,0,25,repeat_mean
2,X11,"('X4',)",exp6_mixed_dgp_ns_raw.csv,0.0009651234580786838,0.006645787576141559,0.0016486720416780615,-0.0022162670249359522,0.0035780795636265795,5,5,0,25,repeat_mean
2,X11,"('X5',)",exp6_mixed_dgp_ns_raw.csv,0.005511815333321819,0.007538272184615683,0.0013393645913206283,0.003596199569001956,0.008015953021257169,5,5,0,25,repeat_mean
2,X11,"('X6',)",exp6_mixed_dgp_ns_raw.csv,0.0033545516652208483,0.008561659225200198,0.0009692353879486523,0.0017336394462790442,0.005278421183643972,5,5,0,25,repeat_mean
2,X11,"('X7',)",exp6_mixed_dgp_ns_raw.csv,0.00012400073412900542,0.008043621198648886,0.0014878840764715366,-0.0025101463173707117,0.0026507463559092043,5,5,0,25,repeat_mean
2,X11,"('X8',)",exp6_mixed_dgp_ns_raw.csv,-0.0013701522013834081,0.010378544466278802,0.0015504702407271196,-0.00406290155425566,0.0012848181013075761,5,5,0,25,repeat_mean
2,X11,"('X9',)",exp6_mixed_dgp_ns_raw.csv,-0.0014223030244119761,0.007711718466547831,0.001778904492720658,-0.004408379818306731,0.001859553103261364,5,5,0,25,repeat_mean
2,X12,"('X1',)",exp6_mixed_dgp_ns_raw.csv,0.0005365967607874842,0.007814683993190312,0.0013710154976094772,-0.0017648441923449158,0.0028380377139198844,5,5,0,25,repeat_mean
2,X12,"('X10',)",exp6_mixed_dgp_ns_raw.csv,-0.004936064854686612,0.009774113219026229,0.0021226196974762314,-0.008656056069723032,-0.0015027791995601597,5,5,0,25,repeat_mean
2,X12,"('X11',)",exp6_mixed_dgp_ns_raw.csv,-0.002871819468303426,0.007679215467181794,0.0003488658678008514,-0.0035847766184903727,-0.00237873107874899,5,5,0,25,repeat_mean
2,X12,"('X13',)",exp6_mixed_dgp_ns_raw.csv,-0.001598900309019592,0.00954656154757066,0.0010956786009694499,-0.0038331472282322763,-6.620204011319594e-05,5,5,0,25,repeat_mean
2,X12,"('X14',)",exp6_mixed_dgp_ns_raw.csv,-0.0038610494449095884,0.008902831268177076,0.0011248896652539322,-0.005673463701141096,-0.0018200021751503162,5,5,0,25,repeat_mean
2,X12,"('X15',)",exp6_mixed_dgp_ns_raw.csv,0.003565453069857708,0.010044434137466708,0.0014215625141427934,0.0010428890308423675,0.005923194693364512,5,5,0,25,repeat_mean
2,X12,"('X2',)",exp6_mixed_dgp_ns_raw.csv,0.00357856903693844,0.009279483014781724,0.00043699938109594986,0.0028231314322607042,0.004334006641616176,5,5,0,25,repeat_mean
2,X12,"('X3',)",exp6_mixed_dgp_ns_raw.csv,-0.0025923128671764377,0.007210857219206408,0.0014561547900134612,-0.005243430773358865,-7.328771505751849e-05,5,5,0,25,repeat_mean
2,X12,"('X4',)",exp6_mixed_dgp_ns_raw.csv,0.0032359991299795565,0.007591166735442404,0.0013385487653037314,0.0009454380380116297,0.005524559932949508,5,5,0,25,repeat_mean
2,X12,"('X5',)",exp6_mixed_dgp_ns_raw.csv,-0.0019243184423101513,0.008961342170209085,0.0008503675719581949,-0.0034111563381261276,-0.00043748054649417524,5,5,0,25,repeat_mean
2,X12,"('X6',)",exp6_mixed_dgp_ns_raw.csv,0.002601939503463892,0.010351362658873596,0.0028383586855804882,-0.002448301964762904,0.008110374422776855,5,5,0,25,repeat_mean
2,X12,"('X7',)",exp6_mixed_dgp_ns_raw.csv,-0.0015952926461572467,0.009787307711180849,0.0019265825513721877,-0.004916762843962688,0.001648831929717188,5,5,0,25,repeat_mean
2,X12,"('X8',)",exp6_mixed_dgp_ns_raw.csv,0.005530563974268699,0.00654639514224263,0.0011349238894439143,0.003589678019153148,0.007412119704331031,5,5,0,25,repeat_mean
2,X12,"('X9',)",exp6_mixed_dgp_ns_raw.csv,-9.39911160152522e-05,0.009917404767412295,0.0013043266713888078,-0.002313657157044844,0.0024093020837084598,5,5,0,25,repeat_mean
